mapping	file	row#	transcription
0	crowdsourced_diseases_top600.gmt	0	ChEA
1	crowdsourced_diseases_top600.gmt	0	TRANSFAC and JASPAR PWMs
2	crowdsourced_diseases_top600.gmt	0	Epigenomics Roadmap HM ChIP-seq
3	crowdsourced_diseases_top600.gmt	0	TargetScan microRNA
4	crowdsourced_diseases_top600.gmt	0	ENCODE TF ChIP-seq 2015
5	crowdsourced_diseases_top600.gmt	0	ENCODE Histone Modifications 2015
6	crowdsourced_diseases_top600.gmt	0	Transcription Factor PPIs
7	crowdsourced_diseases_top600.gmt	1	ChEA
8	crowdsourced_diseases_top600.gmt	1	TRANSFAC and JASPAR PWMs
9	crowdsourced_diseases_top600.gmt	1	Epigenomics Roadmap HM ChIP-seq
10	crowdsourced_diseases_top600.gmt	1	TargetScan microRNA
11	crowdsourced_diseases_top600.gmt	1	ENCODE TF ChIP-seq 2015
12	crowdsourced_diseases_top600.gmt	1	ENCODE Histone Modifications 2015
13	crowdsourced_diseases_top600.gmt	1	Transcription Factor PPIs
14	crowdsourced_diseases_top600.gmt	2	ChEA
15	crowdsourced_diseases_top600.gmt	2	TRANSFAC and JASPAR PWMs
16	crowdsourced_diseases_top600.gmt	2	Epigenomics Roadmap HM ChIP-seq
17	crowdsourced_diseases_top600.gmt	2	TargetScan microRNA
18	crowdsourced_diseases_top600.gmt	2	ENCODE TF ChIP-seq 2015
19	crowdsourced_diseases_top600.gmt	2	ENCODE Histone Modifications 2015
20	crowdsourced_diseases_top600.gmt	2	Transcription Factor PPIs
21	crowdsourced_diseases_top600.gmt	3	ChEA
22	crowdsourced_diseases_top600.gmt	3	TRANSFAC and JASPAR PWMs
23	crowdsourced_diseases_top600.gmt	3	Epigenomics Roadmap HM ChIP-seq
24	crowdsourced_diseases_top600.gmt	3	TargetScan microRNA
25	crowdsourced_diseases_top600.gmt	3	ENCODE TF ChIP-seq 2015
26	crowdsourced_diseases_top600.gmt	3	ENCODE Histone Modifications 2015
27	crowdsourced_diseases_top600.gmt	3	Transcription Factor PPIs
28	crowdsourced_diseases_top600.gmt	4	ChEA
29	crowdsourced_diseases_top600.gmt	4	TRANSFAC and JASPAR PWMs
30	crowdsourced_diseases_top600.gmt	4	Epigenomics Roadmap HM ChIP-seq
31	crowdsourced_diseases_top600.gmt	4	TargetScan microRNA
32	crowdsourced_diseases_top600.gmt	4	ENCODE TF ChIP-seq 2015
33	crowdsourced_diseases_top600.gmt	4	ENCODE Histone Modifications 2015
34	crowdsourced_diseases_top600.gmt	4	Transcription Factor PPIs
35	crowdsourced_diseases_top600.gmt	5	ChEA
36	crowdsourced_diseases_top600.gmt	5	TRANSFAC and JASPAR PWMs
37	crowdsourced_diseases_top600.gmt	5	Epigenomics Roadmap HM ChIP-seq
38	crowdsourced_diseases_top600.gmt	5	TargetScan microRNA
39	crowdsourced_diseases_top600.gmt	5	ENCODE TF ChIP-seq 2015
40	crowdsourced_diseases_top600.gmt	5	ENCODE Histone Modifications 2015
41	crowdsourced_diseases_top600.gmt	5	Transcription Factor PPIs
42	crowdsourced_diseases_top600.gmt	6	ChEA
43	crowdsourced_diseases_top600.gmt	6	TRANSFAC and JASPAR PWMs
44	crowdsourced_diseases_top600.gmt	6	Epigenomics Roadmap HM ChIP-seq
45	crowdsourced_diseases_top600.gmt	6	TargetScan microRNA
46	crowdsourced_diseases_top600.gmt	6	ENCODE TF ChIP-seq 2015
47	crowdsourced_diseases_top600.gmt	6	ENCODE Histone Modifications 2015
48	crowdsourced_diseases_top600.gmt	6	Transcription Factor PPIs
49	crowdsourced_diseases_top600.gmt	7	ChEA
50	crowdsourced_diseases_top600.gmt	7	TRANSFAC and JASPAR PWMs
51	crowdsourced_diseases_top600.gmt	7	Epigenomics Roadmap HM ChIP-seq
52	crowdsourced_diseases_top600.gmt	7	TargetScan microRNA
53	crowdsourced_diseases_top600.gmt	7	ENCODE TF ChIP-seq 2015
54	crowdsourced_diseases_top600.gmt	7	ENCODE Histone Modifications 2015
55	crowdsourced_diseases_top600.gmt	7	Transcription Factor PPIs
56	crowdsourced_diseases_top600.gmt	8	ChEA
57	crowdsourced_diseases_top600.gmt	8	TRANSFAC and JASPAR PWMs
58	crowdsourced_diseases_top600.gmt	8	Epigenomics Roadmap HM ChIP-seq
59	crowdsourced_diseases_top600.gmt	8	TargetScan microRNA
60	crowdsourced_diseases_top600.gmt	8	ENCODE TF ChIP-seq 2015
